timeseries,labels
1671452739568,0
1671452739569,0
1671452739569,0
1671452739570,0
1671452739571,0
1671452739571,0
1671452739572,0
1671452739573,0
1671452739574,0
1671452739574,0
1671452739575,0
1671452739576,0
1671452739576,0
1671452739611,0
1671452739623,0
1671452739623,0
1671452739624,0
1671452739626,0
1671452739626,0
1671452739626,0
1671452739627,0
1671452739628,0
1671452739629,0
1671452739630,0
1671452739631,0
1671452739632,0
1671452739632,0
1671452739634,0
1671452739634,0
1671452739635,0
1671452739636,0
1671452739636,0
1671452739637,0
1671452739638,0
1671452739639,0
1671452739639,0
1671452739640,0
1671452739641,0
1671452739678,0
1671452739689,0
1671452739690,0
1671452739691,0
1671452739692,0
1671452739693,0
1671452739694,0
1671452739695,0
1671452739695,0
1671452739695,0
1671452739695,0
1671452739697,0
1671452739698,0
1671452739699,0
1671452739699,0
1671452739700,0
1671452739701,0
1671452739702,0
1671452739702,0
1671452739703,0
1671452739704,0
1671452739705,0
1671452739706,0
1671452739707,0
1671452739708,0
1671452739745,0
1671452739758,0
1671452739758,0
1671452739758,0
1671452739759,0
1671452739760,0
1671452739760,0
1671452739761,0
1671452739762,0
1671452739763,0
1671452739764,0
1671452739766,0
1671452739767,0
1671452739768,0
1671452739769,0
1671452739770,0
1671452739771,0
1671452739772,0
1671452739773,0
1671452739774,0
1671452739775,0
1671452739775,0
1671452739775,0
1671452739777,0
1671452739778,0
1671452739823,0
1671452739838,0
1671452739838,0
1671452739838,0
1671452739839,0
1671452739840,0
1671452739840,0
1671452739841,0
1671452739842,0
1671452739843,0
1671452739844,0
1671452739845,0
1671452739846,0
1671452739847,0
1671452739848,0
1671452739849,0
1671452739851,0
1671452739852,0
1671452739853,0
1671452739854,0
1671452739855,0
1671452739856,0
1671452739857,0
1671452739858,0
1671452739859,0
1671452739909,0
1671452739923,0
1671452739924,0
1671452739925,0
1671452739926,0
1671452739927,0
1671452739928,0
1671452739928,0
1671452739929,0
1671452739930,0
1671452739931,0
1671452739932,0
1671452739934,0
1671452739935,0
1671452739937,0
1671452739938,0
1671452739938,0
1671452739939,0
1671452739940,0
1671452739941,0
1671452739941,0
1671452739942,0
1671452739943,0
1671452739944,0
1671452739945,0
1671452739994,0
1671452740004,0
1671452740006,0
1671452740006,0
1671452740007,0
1671452740008,0
1671452740008,0
1671452740009,0
1671452740009,0
1671452740010,0
1671452740011,0
1671452740011,0
1671452740012,0
1671452740013,0
1671452740014,0
1671452740014,0
1671452740015,0
1671452740015,0
1671452740016,0
1671452740018,0
1671452740019,0
1671452740020,0
1671452740020,0
1671452740021,0
1671452740021,0
1671452740064,0
1671452740077,0
1671452740077,0
1671452740078,0
1671452740078,0
1671452740079,0
1671452740080,0
1671452740080,0
1671452740081,0
1671452740082,0
1671452740082,0
1671452740083,0
1671452740085,0
1671452740086,0
1671452740086,0
1671452740087,0
1671452740088,0
1671452740088,0
1671452740089,0
1671452740089,0
1671452740090,0
1671452740091,0
1671452740091,0
1671452740092,0
1671452740092,0
1671452740131,1
1671452740143,1
1671452740144,1
1671452740144,1
1671452740145,1
1671452740146,1
1671452740147,1
1671452740148,1
1671452740148,1
1671452740149,1
1671452740151,1
1671452740151,1
1671452740152,1
1671452740153,1
1671452740154,1
1671452740155,1
1671452740155,1
1671452740157,1
1671452740157,1
1671452740158,1
1671452740159,1
1671452740159,1
1671452740160,1
1671452740160,1
1671452740161,1
1671452740203,1
1671452740214,1
1671452740214,1
1671452740215,1
1671452740216,1
1671452740218,1
1671452740218,1
1671452740219,1
1671452740220,1
1671452740221,1
1671452740222,1
1671452740223,1
1671452740224,1
1671452740224,1
1671452740225,1
1671452740226,1
1671452740226,1
1671452740227,1
1671452740228,1
1671452740229,1
1671452740229,1
1671452740230,1
1671452740230,1
1671452740231,1
1671452740232,1
1671452740276,0
1671452740291,0
1671452740291,0
1671452740292,0
1671452740293,0
1671452740294,0
1671452740296,0
1671452740297,0
1671452740298,0
1671452740299,0
1671452740301,0
1671452740302,0
1671452740304,0
1671452740305,0
1671452740305,0
1671452740307,0
1671452740308,0
1671452740309,0
1671452740310,0
1671452740311,0
1671452740312,0
1671452740313,0
1671452740313,0
1671452740314,0
1671452740315,0
1671452740371,0
1671452740380,0
1671452740381,0
1671452740383,0
1671452740385,0
1671452740387,0
1671452740388,0
1671452740389,0
1671452740390,0
1671452740391,0
1671452740392,0
1671452740393,0
1671452740394,0
1671452740396,0
1671452740396,0
1671452740397,0
1671452740398,0
1671452740400,0
1671452740402,0
1671452740403,0
1671452740404,0
1671452740406,0
1671452740406,0
1671452740407,0
1671452740408,0
1671452740464,0
1671452740479,0
1671452740480,0
1671452740480,0
