timeseries,label
1674644671450,0
1674644671471,0
1674644671492,0
1674644671513,0
1674644671533,0
1674644671555,0
1674644671574,0
1674644671594,0
1674644671614,0
1674644671637,0
1674644671656,0
1674644671675,0
1674644671697,0
1674644671719,0
1674644671742,0
1674644671770,0
1674644671792,0
1674644671813,0
1674644671834,0
1674644671856,0
1674644671879,0
1674644671900,0
1674644671921,0
1674644671942,0
1674644671963,0
1674644671984,0
1674644672066,0
1674644672084,0
1674644672103,0
1674644672123,0
1674644672140,0
1674644672159,0
1674644672178,0
1674644672197,0
1674644672215,0
1674644672234,0
1674644672253,0
1674644672272,0
1674644672290,0
1674644672309,0
1674644672327,0
1674644672346,0
1674644672363,0
1674644672668,0
1674644672714,0
1674644672736,0
1674644672756,0
1674644672775,0
1674644672794,0
1674644672811,0
1674644672829,0
1674644672847,0
1674644672866,0
1674644672882,0
1674644672900,0
1674644672918,0
1674644672936,0
1674644672953,0
1674644672971,0
1674644672987,0
1674644673004,0
1674644673022,0
1674644673041,0
1674644673060,0
1674644673079,0
1674644673098,0
1674644673117,0
1674644673135,0
1674644673156,0
1674644673174,0
1674644673192,0
1674644673209,0
1674644673229,0
1674644673247,0
1674644673267,0
1674644673287,0
1674644673304,0
1674644673322,0
1674644673340,0
1674644673361,0
1674644673380,0
1674644673400,0
1674644673417,0
1674644673503,0
1674644673523,0
1674644673541,0
1674644673559,0
1674644673578,0
1674644673595,0
1674644673614,0
1674644673632,0
1674644673649,0
1674644673669,0
1674644673688,0
1674644673707,0
1674644673725,0
1674644673745,0
1674644673762,0
1674644673780,0
1674644673799,0
1674644673818,0
1674644673838,0
1674644673857,0
1674644673876,0
1674644673895,0
1674644673915,0
1674644673934,0
1674644673953,0
1674644673972,0
1674644673990,0
1674644674009,0
1674644674026,0
1674644674044,0
1674644674063,0
1674644674082,0
1674644674101,0
1674644674120,0
1674644674139,0
1674644674158,0
1674644674178,0
1674644674196,0
1674644674214,0
1674644674233,0
1674644674252,0
1674644674270,0
1674644674289,0
1674644674306,0
1674644674323,0
1674644674342,0
1674644674359,0
1674644674378,0
1674644674397,0
1674644674416,0
1674644674435,0
1674644674455,0
1674644674475,0
1674644674494,0
1674644674514,0
1674644674533,0
1674644674552,0
1674644674632,0
1674644674650,0
1674644674667,0
1674644674685,0
1674644674703,0
1674644674722,0
1674644674739,0
1674644674756,0
1674644674773,0
1674644674792,0
1674644674810,0
1674644674829,0
1674644674848,0
1674644674866,0
1674644674883,0
1674644674902,0
1674644674920,0
1674644674941,0
1674644674960,0
1674644674979,0
1674644674997,0
1674644675016,0
1674644675034,0
1674644675053,0
1674644675072,0
1674644675089,0
1674644675107,0
1674644675126,0
1674644675144,0
1674644675162,0
1674644675181,0
1674644675200,0
1674644675218,0
1674644675236,0
1674644675253,0
1674644675271,0
1674644675289,0
1674644675308,0
1674644675328,0
1674644675350,0
1674644675371,0
1674644675389,0
1674644675407,0
1674644675425,0
1674644675443,0
1674644675460,0
1674644675478,0
1674644675495,0
1674644675789,0
1674644675827,0
1674644675847,0
1674644675867,0
1674644675887,0
1674644675906,0
1674644675926,0
1674644675944,0
1674644675963,0
1674644676045,1
1674644676066,1
1674644676085,1
1674644676104,1
1674644676124,1
1674644676144,1
1674644676164,1
1674644676185,1
1674644676205,1
1674644676226,1
1674644676245,1
1674644676267,1
1674644676288,1
1674644676308,1
1674644676328,1
1674644676348,1
1674644676368,1
1674644676388,1
1674644676408,1
1674644676430,1
1674644676451,1
1674644676472,1
1674644676494,1
1674644676516,1
1674644676815,1
1674644676836,1
1674644676857,1
1674644676878,1
1674644677098,1
1674644677143,1
1674644677167,1
1674644677190,1
1674644677210,1
1674644677232,1
1674644677253,1
1674644677273,1
1674644677564,1
1674644677602,1
1674644677625,1
1674644677647,1
1674644677667,1
1674644677689,1
1674644677710,1
1674644677732,1
1674644677753,1
1674644677775,1
1674644677796,1
1674644677816,1
1674644677837,1
1674644677857,1
1674644677878,1
1674644677899,1
1674644677920,1
1674644677940,1
1674644677961,1
1674644677982,1
1674644678001,1
1674644678077,1
1674644678095,1
1674644678113,1
1674644678131,1
1674644678150,1
1674644678170,1
1674644678189,1
1674644678208,1
1674644678228,1
1674644678247,1
1674644678266,1
1674644678286,1
1674644678305,1
1674644678324,1
1674644678343,1
1674644678361,1
1674644678381,1
1674644678400,1
1674644678419,1
1674644678437,1
1674644678454,1
1674644678472,1
1674644678492,1
1674644678510,1
1674644678528,1
1674644678545,1
1674644678563,1
1674644678583,1
1674644678603,1
1674644678622,1
1674644678641,1
1674644678660,1
1674644678679,1
1674644678698,1
1674644678717,1
1674644678735,1
1674644678751,1
1674644678768,1
1674644678786,1
1674644678806,1
1674644678825,1
1674644678844,1
1674644679148,1
1674644679194,1
1674644679213,1
1674644679512,1
1674644679555,1
1674644679578,1
1674644679599,1
1674644679618,1
1674644679637,1
1674644679657,1
1674644679676,1
1674644679695,1
1674644679714,1
1674644679734,1
1674644679753,1
1674644679840,0
1674644679864,0
1674644679887,0
1674644679910,0
1674644679933,0
1674644679957,0
1674644679980,0
1674644680004,0
1674644680027,0
1674644680050,0
1674644680074,0
1674644680099,0
1674644680123,0
1674644680148,0
1674644680172,0
1674644680197,0
1674644680222,0
1674644680245,0
1674644680267,0
1674644680290,0
1674644680312,0
1674644680339,0
1674644680369,0
1674644680398,0
1674644680426,0
1674644680452,0
1674644680477,0
1674644680498,0
1674644680519,0
1674644680542,0
1674644680565,0
1674644680588,0
1674644680611,0
1674644680637,0
1674644680660,0
1674644680684,0
1674644680709,0
1674644680732,0
1674644680757,0
1674644680779,0
1674644680802,0
1674644680825,0
1674644680846,0
1674644680868,0
1674644680889,0
1674644680910,0
1674644680931,0
1674644680951,0
1674644680973,0
1674644680996,0
1674644681020,0
1674644681043,0
1674644681066,0
1674644681088,0
1674644681112,0
1674644681136,0
1674644681160,0
1674644681252,0
1674644681271,0
1674644681288,0
1674644681306,0
1674644681323,0
1674644681341,0
1674644681361,0
1674644681385,0
1674644681412,0
1674644681440,0
1674644681467,0
1674644681488,0
1674644681508,0
1674644681525,0
1674644681542,0
1674644681562,0
1674644681583,0
1674644681603,0
1674644681624,0
1674644681644,0
1674644681662,0
1674644681681,0
1674644681702,0
1674644681724,0
1674644681745,0
1674644681767,0
1674644681791,0
1674644681816,0
1674644681842,0
1674644681864,0
1674644681884,0
1674644681904,0
1674644681922,0
1674644681940,0
1674644681958,0
1674644681976,0
1674644681998,0
1674644682023,0
1674644682050,0
1674644682078,0
1674644682105,0
1674644682127,0
1674644682147,0
1674644682164,0
1674644682183,0
1674644682200,0
1674644682218,0
1674644682237,0
1674644682256,0
1674644682274,0
1674644682294,0
1674644682311,0
1674644682329,0
1674644682346,0
1674644682365,0
1674644682382,0
1674644682400,0
1674644682487,0
1674644682508,0
1674644682528,0
1674644682547,0
1674644682565,0
1674644682584,0
1674644682604,0
1674644682627,0
1674644682648,0
1674644682668,0
1674644682689,0
1674644682721,0
1674644682762,0
1674644682795,0
1674644682821,0
1674644682849,0
1674644682874,0
1674644682899,0
1674644682923,0
1674644682945,0
1674644682968,0
1674644682987,0
1674644683007,0
1674644683026,0
1674644683045,0
1674644683064,0
