LEXXW;GXIIW;CODI_B;FTHM;INQQ;
0.830928;0.830928;0.830928;0.830928;0.830928;
0.766104;0.766104;0.766104;0.766104;0.766104;
0.782454;0.782454;0.782454;0.782454;0.782454;
0.822778;0.822778;0.822778;0.822778;0.822778;
0.761971;0.761971;0.761971;0.761971;0.761971;
0.829143;0.829143;0.829143;0.829143;0.829143;
0.864218;0.864218;0.864218;0.864218;0.864218;
0.89063;0.89063;0.89063;0.89063;0.89063;
0.870488;0.870488;0.870488;0.870488;0.870488;
0.807587;0.807587;0.807587;0.807587;0.807587;
0.74181;0.74181;0.74181;0.74181;0.74181;
0.775806;0.775806;0.775806;0.775806;0.775806;
0.842552;0.842552;0.842552;0.842552;0.842552;
0.853376;0.853376;0.853376;0.853376;0.853376;
0.804606;0.804606;0.804606;0.804606;0.804606;
0.732893;0.732893;0.732893;0.732893;0.732893;
0.802491;0.802491;0.802491;0.802491;0.802491;
0.82264;0.82264;0.82264;0.82264;0.82264;
0.771354;0.771354;0.771354;0.771354;0.771354;
0.779017;0.779017;0.779017;0.779017;0.779017;
0.839251;0.839251;0.839251;0.839251;0.839251;
0.922136;0.922136;0.922136;0.922136;0.922136;
0.937474;0.937474;0.937474;0.937474;0.937474;
0.962806;0.962806;0.962806;0.962806;0.962806;
0.897772;0.897772;0.897772;0.897772;0.897772;
0.828978;0.828978;0.828978;0.828978;0.828978;
0.885575;0.885575;0.885575;0.885575;0.885575;
0.966365;0.966365;0.966365;0.966365;0.966365;
0.90814;0.90814;0.90814;0.90814;0.90814;
0.980905;0.980905;0.980905;0.980905;0.980905;
0.984849;0.984849;0.984849;0.984849;0.984849;
0.931452;0.931452;0.931452;0.931452;0.931452;
0.904163;0.904163;0.904163;0.904163;0.904163;
0.958034;0.958034;0.958034;0.958034;0.958034;
1.02849;1.02849;1.02849;1.02849;1.02849;
0.934811;0.934811;0.934811;0.934811;0.934811;
0.929514;0.929514;0.929514;0.929514;0.929514;
0.852406;0.852406;0.852406;0.852406;0.852406;
0.844814;0.844814;0.844814;0.844814;0.844814;
0.919315;0.919315;0.919315;0.919315;0.919315;
0.835881;0.835881;0.835881;0.835881;0.835881;
0.848954;0.848954;0.848954;0.848954;0.848954;
0.883857;0.883857;0.883857;0.883857;0.883857;
0.896917;0.896917;0.896917;0.896917;0.896917;
0.866735;0.866735;0.866735;0.866735;0.866735;
0.883399;0.883399;0.883399;0.883399;0.883399;
0.869359;0.869359;0.869359;0.869359;0.869359;
0.81444;0.81444;0.81444;0.81444;0.81444;
0.842343;0.842343;0.842343;0.842343;0.842343;
0.770055;0.770055;0.770055;0.770055;0.770055;
0.750018;0.750018;0.750018;0.750018;0.750018;
0.700493;0.700493;0.700493;0.700493;0.700493;
0.68275;0.68275;0.68275;0.68275;0.68275;
0.658355;0.658355;0.658355;0.658355;0.658355;
0.678037;0.678037;0.678037;0.678037;0.678037;
0.616727;0.616727;0.616727;0.616727;0.616727;
0.62351;0.62351;0.62351;0.62351;0.62351;
0.58985;0.58985;0.58985;0.58985;0.58985;
0.533898;0.533898;0.533898;0.533898;0.533898;
0.535281;0.535281;0.535281;0.535281;0.535281;
0.640979;0.640979;0.640979;0.640979;0.640979;
0.595602;0.595602;0.595602;0.595602;0.595602;
0.594973;0.594973;0.594973;0.594973;0.594973;
0.589498;0.589498;0.589498;0.589498;0.589498;
0.598491;0.598491;0.598491;0.598491;0.598491;
0.556797;0.556797;0.556797;0.556797;0.556797;
0.578196;0.578196;0.578196;0.578196;0.578196;
0.541949;0.541949;0.541949;0.541949;0.541949;
0.615918;0.615918;0.615918;0.615918;0.615918;
0.72618;0.72618;0.72618;0.72618;0.72618;
0.66665;0.66665;0.66665;0.66665;0.66665;
0.648936;0.648936;0.648936;0.648936;0.648936;
0.587648;0.587648;0.587648;0.587648;0.587648;
0.548248;0.548248;0.548248;0.548248;0.548248;
0.609394;0.609394;0.609394;0.609394;0.609394;
0.718124;0.718124;0.718124;0.718124;0.718124;
0.657701;0.657701;0.657701;0.657701;0.657701;
0.668901;0.668901;0.668901;0.668901;0.668901;
0.729418;0.729418;0.729418;0.729418;0.729418;
0.680923;0.680923;0.680923;0.680923;0.680923;
0.664177;0.664177;0.664177;0.664177;0.664177;
0.758075;0.758075;0.758075;0.758075;0.758075;
0.769039;0.769039;0.769039;0.769039;0.769039;
0.714687;0.714687;0.714687;0.714687;0.714687;
0.741049;0.741049;0.741049;0.741049;0.741049;
0.81065;0.81065;0.81065;0.81065;0.81065;
0.854148;0.854148;0.854148;0.854148;0.854148;
0.801852;0.801852;0.801852;0.801852;0.801852;
0.879647;0.879647;0.879647;0.879647;0.879647;
0.941854;0.941854;0.941854;0.941854;0.941854;
1.01192;1.01192;1.01192;1.01192;1.01192;
1.04044;1.04044;1.04044;1.04044;1.04044;
1.03911;1.03911;1.03911;1.03911;1.03911;
0.994875;0.994875;0.994875;0.994875;0.994875;
1.04287;1.04287;1.04287;1.04287;1.04287;
1.11334;1.11334;1.11334;1.11334;1.11334;
