Radial_Acceleration;Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation
0.001432;0.002825;0.005574;0.001432;0.002825;0.005574
0.001145;0.002256;0.004446;0.001145;0.002256;0.004446
0.000574;0.001131;0.002227;0.000574;0.001131;0.002227
0.001116;0.002193;0.004309;0.001116;0.002193;0.004309
0.001873;0.003678;0.007223;0.001873;0.003678;0.007223
0.001902;0.003731;0.007318;0.001902;0.003731;0.007318
0.002134;0.004181;0.008190;0.002134;0.004181;0.008190
0.002223;0.004351;0.008513;0.002223;0.004351;0.008513
0.001984;0.003877;0.007577;0.001984;0.003877;0.007577
0.002034;0.003971;0.007752;0.002034;0.003971;0.007752
0.002000;0.003899;0.007603;0.002000;0.003899;0.007603
0.001861;0.003623;0.007057;0.001861;0.003623;0.007057
0.002035;0.003958;0.007699;0.002035;0.003958;0.007699
0.002330;0.004528;0.008798;0.002330;0.004528;0.008798
0.001595;0.003096;0.006009;0.001595;0.003096;0.006009
0.001463;0.002836;0.005496;0.001463;0.002836;0.005496
0.002464;0.004771;0.009237;0.002464;0.004771;0.009237
0.001978;0.003825;0.007396;0.001978;0.003825;0.007396
0.000870;0.001682;0.003248;0.000870;0.001682;0.003248
0.002170;0.004186;0.008075;0.002170;0.004186;0.008075
0.002195;0.004230;0.008152;0.002195;0.004230;0.008152
0.001776;0.003419;0.006581;0.001776;0.003419;0.006581
0.001364;0.002623;0.005043;0.001364;0.002623;0.005043
0.001888;0.003626;0.006962;0.001888;0.003626;0.006962
0.002214;0.004247;0.008147;0.002214;0.004247;0.008147
0.002363;0.004526;0.008672;0.002363;0.004526;0.008672
0.002654;0.005079;0.009720;0.002654;0.005079;0.009720
0.002218;0.004240;0.008106;0.002218;0.004240;0.008106
0.002472;0.004720;0.009011;0.002472;0.004720;0.009011
0.002238;0.004269;0.008143;0.002238;0.004269;0.008143
0.001322;0.002519;0.004799;0.001322;0.002519;0.004799
0.001266;0.002409;0.004583;0.001266;0.002409;0.004583
0.001390;0.002642;0.005021;0.001390;0.002642;0.005021
0.001312;0.002490;0.004727;0.001312;0.002490;0.004727
0.001467;0.002782;0.005275;0.001467;0.002782;0.005275
0.001734;0.003285;0.006222;0.001734;0.003285;0.006222
0.001821;0.003445;0.006519;0.001821;0.003445;0.006519
0.001693;0.003199;0.006045;0.001693;0.003199;0.006045
0.001578;0.002979;0.005623;0.001578;0.002979;0.005623
0.001221;0.002303;0.004341;0.001221;0.002303;0.004341
0.002424;0.004564;0.008596;0.002424;0.004564;0.008596
0.002003;0.003767;0.007087;0.002003;0.003767;0.007087
0.002618;0.004919;0.009244;0.002618;0.004919;0.009244
0.002272;0.004265;0.008005;0.002272;0.004265;0.008005
0.001886;0.003536;0.006630;0.001886;0.003536;0.006630
0.002596;0.004861;0.009102;0.002596;0.004861;0.009102
0.001513;0.002831;0.005296;0.001513;0.002831;0.005296
0.001833;0.003424;0.006397;0.001833;0.003424;0.006397
0.002572;0.004800;0.008958;0.002572;0.004800;0.008958
0.001696;0.003162;0.005896;0.001696;0.003162;0.005896
0.000705;0.001314;0.002447;0.000705;0.001314;0.002447
0.001414;0.002630;0.004891;0.001414;0.002630;0.004891
0.003329;0.006185;0.011489;0.003329;0.006185;0.011489
0.004344;0.008061;0.014961;0.004344;0.008061;0.014961
0.002873;0.005328;0.009880;0.002873;0.005328;0.009880
0.001825;0.003379;0.006256;0.001825;0.003379;0.006256
0.002825;0.005225;0.009662;0.002825;0.005225;0.009662
0.003196;0.005906;0.010914;0.003196;0.005906;0.010914
0.002558;0.004721;0.008713;0.002558;0.004721;0.008713
0.002487;0.004585;0.008452;0.002487;0.004585;0.008452
0.002343;0.004314;0.007945;0.002343;0.004314;0.007945
0.001836;0.003377;0.006212;0.001836;0.003377;0.006212
0.001507;0.002768;0.005086;0.001507;0.002768;0.005086
0.001878;0.003447;0.006326;0.001878;0.003447;0.006326
0.001796;0.003294;0.006039;0.001796;0.003294;0.006039
0.000478;0.000875;0.001602;0.000478;0.000875;0.001602
0.001309;0.002394;0.004379;0.001309;0.002394;0.004379
0.001741;0.003181;0.005812;0.001741;0.003181;0.005812
0.001842;0.003363;0.006138;0.001842;0.003363;0.006138
0.002367;0.004315;0.007867;0.002367;0.004315;0.007867
0.002421;0.004410;0.008031;0.002421;0.004410;0.008031
0.002112;0.003843;0.006991;0.002112;0.003843;0.006991
0.003279;0.005959;0.010828;0.003279;0.005959;0.010828
0.007249;0.013157;0.023880;0.007249;0.013157;0.023880
0.009030;0.016373;0.029687;0.009030;0.016373;0.029687
0.008469;0.015339;0.027784;0.008469;0.015339;0.027784
0.004839;0.008758;0.015850;0.004839;0.008758;0.015850
0.002488;0.004498;0.008129;0.002488;0.004498;0.008129
0.002695;0.004865;0.008782;0.002695;0.004865;0.008782
0.003683;0.006641;0.011975;0.003683;0.006641;0.011975
0.003837;0.006913;0.012453;0.003837;0.006913;0.012453
0.002686;0.004834;0.008700;0.002686;0.004834;0.008700
0.001206;0.002168;0.003898;0.001206;0.002168;0.003898
0.000936;0.001680;0.003016;0.000936;0.001680;0.003016
0.002034;0.003648;0.006541;0.002034;0.003648;0.006541
0.002752;0.004931;0.008835;0.002752;0.004931;0.008835
0.002351;0.004208;0.007532;0.002351;0.004208;0.007532
0.002324;0.004155;0.007428;0.002324;0.004155;0.007428
0.002534;0.004525;0.008080;0.002534;0.004525;0.008080
0.002612;0.004660;0.008313;0.002612;0.004660;0.008313
0.002225;0.003965;0.007066;0.002225;0.003965;0.007066
0.003077;0.005477;0.009749;0.003077;0.005477;0.009749
0.001967;0.003498;0.006221;0.001967;0.003498;0.006221
0.000565;0.001004;0.001784;0.000565;0.001004;0.001784
0.001506;0.002672;0.004741;0.001506;0.002672;0.004741
0.002210;0.003918;0.006944;0.002210;0.003918;0.006944
0.003068;0.005433;0.009619;0.003068;0.005433;0.009619
0.003754;0.006640;0.011744;0.003754;0.006640;0.011744
0.002471;0.004365;0.007714;0.002471;0.004365;0.007714
0.001539;0.002716;0.004794;0.001539;0.002716;0.004794
0.001826;0.003218;0.005674;0.001826;0.003218;0.005674
0.001806;0.003181;0.005602;0.001806;0.003181;0.005602
0.001567;0.002757;0.004851;0.001567;0.002757;0.004851
0.001176;0.002068;0.003634;0.001176;0.002068;0.003634
0.002573;0.004516;0.007926;0.002573;0.004516;0.007926
0.002823;0.004952;0.008686;0.002823;0.004952;0.008686
0.002146;0.003759;0.006586;0.002146;0.003759;0.006586
0.002822;0.004938;0.008640;0.002822;0.004938;0.008640
0.003365;0.005883;0.010285;0.003365;0.005883;0.010285
0.002920;0.005100;0.008907;0.002920;0.005100;0.008907
0.002267;0.003954;0.006898;0.002267;0.003954;0.006898
0.002513;0.004379;0.007630;0.002513;0.004379;0.007630
0.002293;0.003994;0.006954;0.002293;0.003994;0.006954
0.000601;0.001046;0.001817;0.000601;0.001046;0.001817
0.001949;0.003385;0.005880;0.001949;0.003385;0.005880
0.002686;0.004661;0.008088;0.002686;0.004661;0.008088
0.003252;0.005637;0.009773;0.003252;0.005637;0.009773
0.001711;0.002963;0.005132;0.001711;0.002963;0.005132
0.000905;0.001565;0.002708;0.000905;0.001565;0.002708
0.002575;0.004450;0.007690;0.002575;0.004450;0.007690
0.003039;0.005246;0.009056;0.003039;0.005246;0.009056
0.002694;0.004646;0.008012;0.002694;0.004646;0.008012
0.003394;0.005847;0.010072;0.003394;0.005847;0.010072
0.001240;0.002135;0.003675;0.001240;0.002135;0.003675
0.001178;0.002025;0.003481;0.001178;0.002025;0.003481
0.001111;0.001907;0.003276;0.001111;0.001907;0.003276
0.000994;0.001705;0.002925;0.000994;0.001705;0.002925
0.002045;0.003503;0.006003;0.002045;0.003503;0.006003
0.001915;0.003280;0.005616;0.001915;0.003280;0.005616
0.001499;0.002564;0.004386;0.001499;0.002564;0.004386
0.001300;0.002220;0.003794;0.001300;0.002220;0.003794
0.001587;0.002708;0.004621;0.001587;0.002708;0.004621
0.002808;0.004788;0.008161;0.002808;0.004788;0.008161
0.002907;0.004952;0.008436;0.002907;0.004952;0.008436
0.001635;0.002783;0.004735;0.001635;0.002783;0.004735
0.001093;0.001858;0.003158;0.001093;0.001858;0.003158
0.000822;0.001396;0.002370;0.000822;0.001396;0.002370
0.001209;0.002052;0.003480;0.001209;0.002052;0.003480
0.001211;0.002052;0.003477;0.001211;0.002052;0.003477
0.000876;0.001483;0.002510;0.000876;0.001483;0.002510
0.001545;0.002614;0.004421;0.001545;0.002614;0.004421
0.000549;0.000927;0.001565;0.000549;0.000927;0.001565
0.001631;0.002752;0.004644;0.001631;0.002752;0.004644
0.001552;0.002617;0.004412;0.001552;0.002617;0.004412
0.001912;0.003220;0.005424;0.001912;0.003220;0.005424
0.002424;0.004078;0.006862;0.002424;0.004078;0.006862
0.001873;0.003148;0.005291;0.001873;0.003148;0.005291
0.002207;0.003705;0.006220;0.002207;0.003705;0.006220
0.001773;0.002974;0.004989;0.001773;0.002974;0.004989
0.001674;0.002806;0.004702;0.001674;0.002806;0.004702
0.000787;0.001317;0.002205;0.000787;0.001317;0.002205
0.002226;0.003722;0.006222;0.002226;0.003722;0.006222
0.002442;0.004080;0.006816;0.002442;0.004080;0.006816
0.001779;0.002970;0.004957;0.001779;0.002970;0.004957
0.002043;0.003406;0.005678;0.002043;0.003406;0.005678
0.001726;0.002876;0.004790;0.001726;0.002876;0.004790
0.002340;0.003893;0.006476;0.002340;0.003893;0.006476
0.003099;0.005152;0.008564;0.003099;0.005152;0.008564
0.002098;0.003484;0.005786;0.002098;0.003484;0.005786
0.001322;0.002192;0.003637;0.001322;0.002192;0.003637
0.002014;0.003338;0.005531;0.002014;0.003338;0.005531
0.003272;0.005416;0.008966;0.003272;0.005416;0.008966
0.003870;0.006401;0.010587;0.003870;0.006401;0.010587
0.003004;0.004963;0.008202;0.003004;0.004963;0.008202
0.001621;0.002676;0.004416;0.001621;0.002676;0.004416
0.002132;0.003515;0.005795;0.002132;0.003515;0.005795
0.004138;0.006816;0.011227;0.004138;0.006816;0.011227
0.005076;0.008354;0.013749;0.005076;0.008354;0.013749
0.003690;0.006066;0.009974;0.003690;0.006066;0.009974
0.001734;0.002848;0.004678;0.001734;0.002848;0.004678
0.002170;0.003560;0.005842;0.002170;0.003560;0.005842
0.003432;0.005626;0.009222;0.003432;0.005626;0.009222
0.003920;0.006420;0.010513;0.003920;0.006420;0.010513
0.002064;0.003377;0.005525;0.002064;0.003377;0.005525
0.001332;0.002178;0.003560;0.001332;0.002178;0.003560
0.001788;0.002919;0.004765;0.001788;0.002919;0.004765
0.003292;0.005369;0.008757;0.003292;0.005369;0.008757
0.003343;0.005447;0.008877;0.003343;0.005447;0.008877
0.001695;0.002761;0.004496;0.001695;0.002761;0.004496
0.001034;0.001682;0.002736;0.001034;0.001682;0.002736
0.001045;0.001698;0.002759;0.001045;0.001698;0.002759
0.001840;0.002986;0.004846;0.001840;0.002986;0.004846
0.003184;0.005162;0.008370;0.003184;0.005162;0.008370
0.003516;0.005696;0.009228;0.003516;0.005696;0.009228
0.003315;0.005365;0.008682;0.003315;0.005365;0.008682
0.003702;0.005985;0.009676;0.003702;0.005985;0.009676
0.003305;0.005338;0.008624;0.003305;0.005338;0.008624
0.001477;0.002384;0.003849;0.001477;0.002384;0.003849
0.000605;0.000975;0.001571;0.000605;0.000975;0.001571
0.001961;0.003157;0.005083;0.001961;0.003157;0.005083
0.003761;0.006052;0.009737;0.003761;0.006052;0.009737
0.004554;0.007320;0.011767;0.004554;0.007320;0.011767
0.004818;0.007737;0.012424;0.004818;0.007737;0.012424
0.004093;0.006567;0.010536;0.004093;0.006567;0.010536
0.002024;0.003244;0.005200;0.002024;0.003244;0.005200
0.000698;0.001117;0.001789;0.000698;0.001117;0.001789
0.002691;0.004305;0.006886;0.002691;0.004305;0.006886
0.003211;0.005131;0.008200;0.003211;0.005131;0.008200
0.001922;0.003069;0.004900;0.001922;0.003069;0.004900
0.002201;0.003511;0.005600;0.002201;0.003511;0.005600
0.003502;0.005580;0.008891;0.003502;0.005580;0.008891
0.002850;0.004537;0.007224;0.002850;0.004537;0.007224
0.001355;0.002156;0.003430;0.001355;0.002156;0.003430
0.002856;0.004537;0.007207;0.002856;0.004537;0.007207
0.005494;0.008720;0.013841;0.005494;0.008720;0.013841
0.005853;0.009282;0.014720;0.005853;0.009282;0.014720
0.004760;0.007541;0.011948;0.004760;0.007541;0.011948
0.003362;0.005322;0.008425;0.003362;0.005322;0.008425
0.002036;0.003219;0.005092;0.002036;0.003219;0.005092
0.002361;0.003729;0.005890;0.002361;0.003729;0.005890
0.003164;0.004994;0.007882;0.003164;0.004994;0.007882
0.002906;0.004582;0.007224;0.002906;0.004582;0.007224
0.003672;0.005784;0.009110;0.003672;0.005784;0.009110
0.003809;0.005994;0.009435;0.003809;0.005994;0.009435
0.002268;0.003567;0.005608;0.002268;0.003567;0.005608
0.001706;0.002680;0.004210;0.001706;0.002680;0.004210
0.001202;0.001887;0.002960;0.001202;0.001887;0.002960
0.001498;0.002349;0.003682;0.001498;0.002349;0.003682
0.002499;0.003914;0.006130;0.002499;0.003914;0.006130
0.004370;0.006838;0.010700;0.004370;0.006838;0.010700
0.004396;0.006873;0.010745;0.004396;0.006873;0.010745
0.003766;0.005882;0.009187;0.003766;0.005882;0.009187
