Radial_Velocity;Radial_Demodulation;Axial_Acceleration;Axial_Velocity;Axial_Demodulation;Radial_Acceleration
0.000628;0.001495;0.003559;0.000628;0.001495;0.003559
0.000536;0.001274;0.003028;0.000536;0.001274;0.003028
0.001098;0.002605;0.006181;0.001098;0.002605;0.006181
0.001594;0.003778;0.008954;0.001594;0.003778;0.008954
0.001503;0.003557;0.008417;0.001503;0.003557;0.008417
0.001365;0.003225;0.007622;0.001365;0.003225;0.007622
0.001137;0.002683;0.006331;0.001137;0.002683;0.006331
0.001225;0.002886;0.006799;0.001225;0.002886;0.006799
0.001496;0.003520;0.008282;0.001496;0.003520;0.008282
0.000953;0.002239;0.005263;0.000953;0.002239;0.005263
0.000788;0.001848;0.004335;0.000788;0.001848;0.004335
0.001725;0.004041;0.009466;0.001725;0.004041;0.009466
0.002214;0.005180;0.012119;0.002214;0.005180;0.012119
0.002197;0.005131;0.011988;0.002197;0.005131;0.011988
0.002114;0.004932;0.011505;0.002114;0.004932;0.011505
0.001833;0.004271;0.009952;0.001833;0.004271;0.009952
0.000759;0.001764;0.004101;0.000759;0.001764;0.004101
0.002063;0.004791;0.011129;0.002063;0.004791;0.011129
0.002072;0.004806;0.011149;0.002072;0.004806;0.011149
0.000774;0.001792;0.004151;0.000774;0.001792;0.004151
0.000925;0.002140;0.004948;0.000925;0.002140;0.004948
0.001744;0.004028;0.009304;0.001744;0.004028;0.009304
0.000577;0.001331;0.003068;0.000577;0.001331;0.003068
0.002173;0.005005;0.011527;0.002173;0.005005;0.011527
0.000841;0.001934;0.004448;0.000841;0.001934;0.004448
0.001348;0.003097;0.007112;0.001348;0.003097;0.007112
0.001895;0.004347;0.009968;0.001895;0.004347;0.009968
0.000956;0.002188;0.005012;0.000956;0.002188;0.005012
0.000921;0.002106;0.004817;0.000921;0.002106;0.004817
0.000756;0.001726;0.003941;0.000756;0.001726;0.003941
0.001702;0.003880;0.008848;0.001702;0.003880;0.008848
0.001850;0.004213;0.009595;0.001850;0.004213;0.009595
0.000968;0.002201;0.005007;0.000968;0.002201;0.005007
0.001517;0.003446;0.007824;0.001517;0.003446;0.007824
0.001701;0.003857;0.008746;0.001701;0.003857;0.008746
0.002101;0.004757;0.010772;0.002101;0.004757;0.010772
0.000746;0.001687;0.003819;0.000746;0.001687;0.003819
0.001403;0.003167;0.007150;0.001403;0.003167;0.007150
0.001520;0.003428;0.007732;0.001520;0.003428;0.007732
0.001895;0.004267;0.009609;0.001895;0.004267;0.009609
0.002411;0.005423;0.012195;0.002411;0.005423;0.012195
0.001629;0.003660;0.008222;0.001629;0.003660;0.008222
0.000968;0.002172;0.004871;0.000968;0.002172;0.004871
0.001174;0.002629;0.005888;0.001174;0.002629;0.005888
0.001425;0.003187;0.007128;0.001425;0.003187;0.007128
0.001516;0.003385;0.007561;0.001516;0.003385;0.007561
0.001049;0.002340;0.005222;0.001049;0.002340;0.005222
0.000363;0.000809;0.001804;0.000363;0.000809;0.001804
0.000704;0.001564;0.003477;0.000704;0.001564;0.003477
0.001070;0.002377;0.005281;0.001070;0.002377;0.005281
0.001006;0.002231;0.004948;0.001006;0.002231;0.004948
0.001249;0.002767;0.006129;0.001249;0.002767;0.006129
0.000915;0.002026;0.004483;0.000915;0.002026;0.004483
0.000650;0.001434;0.003168;0.000650;0.001434;0.003168
0.001357;0.002994;0.006605;0.001357;0.002994;0.006605
0.002082;0.004586;0.010104;0.002082;0.004586;0.010104
0.002580;0.005677;0.012492;0.002580;0.005677;0.012492
0.002115;0.004649;0.010216;0.002115;0.004649;0.010216
0.001333;0.002925;0.006419;0.001333;0.002925;0.006419
0.001712;0.003750;0.008217;0.001712;0.003750;0.008217
0.002493;0.005456;0.011940;0.002493;0.005456;0.011940
0.001846;0.004035;0.008819;0.001846;0.004035;0.008819
0.000870;0.001900;0.004147;0.000870;0.001900;0.004147
0.000951;0.002074;0.004520;0.000951;0.002074;0.004520
0.000864;0.001881;0.004096;0.000864;0.001881;0.004096
0.000616;0.001338;0.002909;0.000616;0.001338;0.002909
0.001240;0.002692;0.005845;0.001240;0.002692;0.005845
0.000925;0.002005;0.004348;0.000925;0.002005;0.004348
0.000606;0.001313;0.002842;0.000606;0.001313;0.002842
0.001148;0.002482;0.005367;0.001148;0.002482;0.005367
0.001415;0.003056;0.006598;0.001415;0.003056;0.006598
0.001740;0.003753;0.008095;0.001740;0.003753;0.008095
0.002039;0.004391;0.009458;0.002039;0.004391;0.009458
0.001385;0.002980;0.006409;0.001385;0.002980;0.006409
0.001852;0.003978;0.008544;0.001852;0.003978;0.008544
0.001926;0.004131;0.008863;0.001926;0.004131;0.008863
0.002378;0.005095;0.010915;0.002378;0.005095;0.010915
0.001621;0.003469;0.007424;0.001621;0.003469;0.007424
0.000500;0.001070;0.002287;0.000500;0.001070;0.002287
0.000447;0.000954;0.002036;0.000447;0.000954;0.002036
0.000887;0.001890;0.004028;0.000887;0.001890;0.004028
0.001675;0.003565;0.007586;0.001675;0.003565;0.007586
0.001552;0.003300;0.007015;0.001552;0.003300;0.007015
0.000646;0.001371;0.002912;0.000646;0.001371;0.002912
0.000515;0.001092;0.002314;0.000515;0.001092;0.002314
0.000842;0.001782;0.003773;0.000842;0.001782;0.003773
0.000855;0.001808;0.003823;0.000855;0.001808;0.003823
0.000502;0.001060;0.002240;0.000502;0.001060;0.002240
0.000781;0.001647;0.003473;0.000781;0.001647;0.003473
0.001133;0.002386;0.005026;0.001133;0.002386;0.005026
0.001292;0.002717;0.005716;0.001292;0.002717;0.005716
0.001489;0.003127;0.006570;0.001489;0.003127;0.006570
0.001165;0.002445;0.005131;0.001165;0.002445;0.005131
0.000836;0.001751;0.003670;0.000836;0.001751;0.003670
0.000902;0.001887;0.003949;0.000902;0.001887;0.003949
0.001057;0.002209;0.004618;0.001057;0.002209;0.004618
0.001741;0.003634;0.007584;0.001741;0.003634;0.007584
0.002323;0.004843;0.010097;0.002323;0.004843;0.010097
0.001865;0.003883;0.008086;0.001865;0.003883;0.008086
0.001359;0.002825;0.005875;0.001359;0.002825;0.005875
0.001015;0.002109;0.004382;0.001015;0.002109;0.004382
0.000295;0.000613;0.001271;0.000295;0.000613;0.001271
0.000824;0.001706;0.003532;0.000824;0.001706;0.003532
0.001775;0.003673;0.007600;0.001775;0.003673;0.007600
0.001195;0.002469;0.005104;0.001195;0.002469;0.005104
0.000704;0.001453;0.002997;0.000704;0.001453;0.002997
0.001664;0.003430;0.007070;0.001664;0.003430;0.007070
0.001751;0.003604;0.007419;0.001751;0.003604;0.007419
0.001557;0.003202;0.006583;0.001557;0.003202;0.006583
0.001545;0.003172;0.006513;0.001545;0.003172;0.006513
0.001440;0.002954;0.006057;0.001440;0.002954;0.006057
0.001686;0.003454;0.007074;0.001686;0.003454;0.007074
0.001346;0.002754;0.005633;0.001346;0.002754;0.005633
0.002070;0.004230;0.008641;0.002070;0.004230;0.008641
0.002781;0.005674;0.011577;0.002781;0.005674;0.011577
0.001434;0.002923;0.005957;0.001434;0.002923;0.005957
0.002510;0.005108;0.010396;0.002510;0.005108;0.010396
0.004235;0.008609;0.017499;0.004235;0.008609;0.017499
0.003565;0.007238;0.014695;0.003565;0.007238;0.014695
0.001428;0.002896;0.005872;0.001428;0.002896;0.005872
0.001075;0.002177;0.004409;0.001075;0.002177;0.004409
0.001980;0.004004;0.008099;0.001980;0.004004;0.008099
0.002509;0.005068;0.010238;0.002509;0.005068;0.010238
0.003207;0.006471;0.013056;0.003207;0.006471;0.013056
0.002038;0.004107;0.008278;0.002038;0.004107;0.008278
0.001270;0.002556;0.005144;0.001270;0.002556;0.005144
0.002267;0.004557;0.009159;0.002267;0.004557;0.009159
0.003364;0.006753;0.013558;0.003364;0.006753;0.013558
0.003352;0.006721;0.013477;0.003352;0.006721;0.013477
0.002887;0.005783;0.011582;0.002887;0.005783;0.011582
0.002873;0.005746;0.011494;0.002873;0.005746;0.011494
0.002195;0.004386;0.008763;0.002195;0.004386;0.008763
0.002539;0.005066;0.010106;0.002539;0.005066;0.010106
0.003636;0.007245;0.014438;0.003636;0.007245;0.014438
0.003038;0.006048;0.012042;0.003038;0.006048;0.012042
0.002158;0.004291;0.008532;0.002158;0.004291;0.008532
0.001922;0.003816;0.007578;0.001922;0.003816;0.007578
0.001446;0.002868;0.005688;0.001446;0.002868;0.005688
0.000977;0.001936;0.003836;0.000977;0.001936;0.003836
0.001490;0.002947;0.005828;0.001490;0.002947;0.005828
0.001966;0.003886;0.007679;0.001966;0.003886;0.007679
0.001077;0.002126;0.004197;0.001077;0.002126;0.004197
0.000533;0.001051;0.002071;0.000533;0.001051;0.002071
0.001093;0.002152;0.004236;0.001093;0.002152;0.004236
