ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:2;0.00874782;111;40.651;37.8533;42.6897;0.355608;0.331134;0.373442;50.9138;47.1095;53.5259;0.445385;0.412106;0.468235;27.5134;26.1516;28.7078;0.240682;0.22877;0.251131;14.0826;14.0764;14.0902;0.123192;0.123138;0.123258; ;169.0782;1.479065659524
phase:0;0.00957656;121;42.0644;39.6824;44.4786;0.402832;0.380021;0.425952;52.6904;49.4583;55.6654;0.504593;0.47364;0.533083;28.4873;26.9391;30.1242;0.27281;0.257984;0.288486;14.0857;14.0795;14.0925;0.134893;0.134833;0.134957; ;173.2421;1.659063365176
phase:1;0.003052;39;41.0398;40.0467;43.262;0.125253;0.122222;0.132035;51.4203;49.5745;54.6779;0.156935;0.151301;0.166877;27.72;26.8779;28.7747;0.0846012;0.0820313;0.0878202;14.0916;14.0871;14.097;0.0430074;0.0429939;0.0430241; ;170.1801;0.5193896652
phase:2;0.0108881;137;41.7207;39.7341;45.2737;0.454259;0.432629;0.492944;52.3427;49.582;56.9885;0.569913;0.539854;0.620497;28.2099;26.8502;30.7336;0.307153;0.292348;0.334631;14.0964;14.0833;14.1032;0.153483;0.153341;0.153557; ;172.2733;1.87572891773
phase:0;0.0119388;150;42.935;39.498;45.4534;0.512592;0.47156;0.542659;53.8366;49.2173;57.418;0.642745;0.587596;0.685503;29.0813;27.2593;30.8298;0.347197;0.325444;0.368071;14.0914;14.078;14.1024;0.168235;0.168074;0.168366; ;175.8529;2.09947260252
phase:1;0.00157642;21;42.0119;40.1442;44.466;0.0662285;0.0632842;0.0700973;52.7297;49.8257;56.3147;0.0831243;0.0785464;0.0887757;28.4053;27.33;29.9932;0.0447788;0.0430837;0.047282;14.0996;14.0948;14.1039;0.022227;0.0222193;0.0222337; ;173.1469;0.272952236098
phase:2;0.0134232;169;42.2178;39.5279;47.3479;0.566698;0.530591;0.63556;52.9276;49.6646;60.1448;0.710458;0.666659;0.807336;28.596;26.7929;31.9882;0.38385;0.359646;0.429385;14.0886;14.0795;14.1001;0.189114;0.188992;0.189269; ;173.7414;2.33216556048
phase:0;0.013659;171;44.6464;40.7897;49.3318;0.609825;0.557147;0.673823;55.9702;50.151;61.7888;0.764497;0.685012;0.843973;30.2067;27.4944;32.9251;0.412594;0.375546;0.449723;14.0883;14.0757;14.1024;0.192432;0.19226;0.192625; ;180.8233;2.4698654547
phase:1;0.000828981;12;44.2405;42.5598;47.4878;0.0366745;0.0352813;0.0393665;55.485;53.1513;59.7922;0.045996;0.0440615;0.0495667;29.9477;28.9923;31.848;0.0248261;0.0240341;0.0264014;14.1016;14.0993;14.1047;0.01169;0.0116881;0.0116925; ;179.6732;0.1489456690092
phase:2;0.01529;192;43.7829;39.8606;49.839;0.669441;0.609469;0.762039;54.8744;49.9179;64.2951;0.83903;0.763245;0.983074;29.6221;27.1647;34.0385;0.452922;0.415348;0.52045;14.0936;14.0818;14.1047;0.215491;0.215311;0.215661; ;178.2794;2.725892026
